frequency_hz,radial_spacing_km,attenuation_db_per_mm,phase_velocity_fraction_c,attenuation_error_db_per_mm,phase_velocity_error_fraction_c,beta_real_rad_per_m,beta_imag_rad_per_m,eigen_residual
244.140625,1.25,4.5248112138,0.836677916798,0.00160635224634,5.61940338097e-05,6.11562589725e-06,-5.20938142476e-07,8.58214717819e-10
254.313151042,1.25,4.70618652589,0.838431871895,0.00163014535396,5.75835934516e-05,6.35711701206e-06,-5.41819746968e-07,7.96056927273e-10
264.485677083,1.25,4.88778862984,0.840117856503,0.00165003315961,5.89401782883e-05,6.59813364758e-06,-5.62727461838e-07,8.0793409407e-10
274.658203125,1.25,5.06965183215,0.841741025127,0.00166594537976,6.02656400883e-05,6.83869516365e-06,-5.83665236769e-07,7.76401777454e-10
284.830729167,1.25,5.25180849698,0.843305979099,0.00167781873629,6.15617534461e-05,7.07881932084e-06,-6.0463679782e-07,6.85057880049e-10
295.003255208,1.25,5.43428923286,0.844816843633,0.00168559515401,6.28302062368e-05,7.31852245309e-06,-6.25645668931e-07,6.2563666935e-10
305.17578125,1.25,5.6171230592,0.846277332274,0.0016892184385,6.40726693153e-05,7.55781961257e-06,-6.46695191081e-07,5.95284541712e-10
315.348307292,1.25,5.80033754082,0.847690800578,0.00168863028353,6.52906903733e-05,7.79672469688e-06,-6.67788537791e-07,4.64813088866e-10
325.520833333,1.25,5.98395890951,0.849060290085,0.00168376872006,6.64857830805e-05,8.03525057113e-06,-6.88928729106e-07,5.247127417e-10
335.693359375,1.25,6.16801216982,0.850388567792,0.00167456747136,6.76593338992e-05,8.2734091543e-06,-7.10118643781e-07,5.57221018576e-10
345.865885417,1.25,6.35252119559,0.851678157822,0.00166095368701,6.88126587814e-05,8.51121151289e-06,-7.31361030394e-07,3.53610443571e-10
356.038411458,1.25,6.53750880917,0.852931369906,0.00164284852629,6.99469322234e-05,8.74866793047e-06,-7.52658516466e-07,3.35536464969e-10
366.2109375,1.25,6.72299685757,0.854150322726,0.00162016683752,7.1063249613e-05,8.98578798044e-06,-7.74013617224e-07,4.24491441772e-10
376.383463542,1.25,6.90900628054,0.855336965165,0.00159281915559,7.21625618335e-05,9.22258057976e-06,-7.95428743448e-07,3.76556280359e-10
386.555989583,1.25,7.09555716269,0.856493093808,0.00156070826423,7.32457215236e-05,9.45905404645e-06,-8.16906207465e-07,3.77430090733e-10
396.728515625,1.25,7.28266879159,0.857620368671,0.00152373665064,7.4313453083e-05,9.6952161459e-06,-8.38448229837e-07,2.67214917774e-10
406.901041667,1.25,7.47035970499,0.858720327178,0.00148180095419,7.53663843195e-05,9.93107412988e-06,-8.600569448e-07,3.49177844612e-10
417.073567708,1.25,7.65864773035,0.859794395823,0.00143479720758,7.64050728468e-05,1.01666347782e-05,-8.8173440482e-07,3.40009536902e-10
427.24609375,1.25,7.847550026,0.860843900728,0.00138261843907,7.74299328553e-05,1.04019044333e-05,-9.0348258532e-07,3.23397574277e-10
437.418619792,1.25,8.03708311443,0.86187007734,0.00132515922575,7.8441371566e-05,1.06368890266e-05,-9.25303388522e-07,2.96002493602e-10
447.591145833,1.25,8.22726291341,0.862874078117,0.0012623119159,7.94396443938e-05,1.08715941138e-05,-9.47198647028e-07,3.12761084734e-10
457.763671875,1.25,8.41810476759,0.863856980818,0.00119397141712,8.04249990821e-05,1.11060248888e-05,-9.69170127456e-07,2.80689241972e-10
467.936197917,1.25,8.60962346679,0.864819793665,0.00112003370125,8.1397641798e-05,1.13401862235e-05,-9.91219532546e-07,2.76837565299e-10
478.108723958,1.25,8.8018332767,0.86576346253,0.00104039451398,8.23576907701e-05,1.1574082673e-05,-1.0133485047e-06,2.69481973968e-10
488.28125,1.25,8.99474795703,0.86668887542,0.000954953226161,8.33052433026e-05,1.18077185037e-05,-1.03555862805e-06,1.88962111348e-10
498.453776042,1.25,9.18838077905,0.867596867288,0.00086361134435,8.42403856517e-05,1.204109771e-05,-1.05785143053e-06,2.42072409269e-10
50.8626302083,0.625,1.04469400227,0.769998299108,0.000274373711053,-1.62386106396e-05,1.38442111429e-06,-1.20274841818e-07,1.65339193934e-08
61.03515625,0.625,1.23551659881,0.777645813011,0.000318498957475,-1.45229052326e-05,1.64496775075e-06,-1.42244105128e-07,8.27273981742e-09
