frequency_hz,model,attenuation_db_per_mm,phase_velocity_fraction_c,beta_real,beta_imag,eigen_residual,bannister_attenuation_db_per_mm,bannister_phase_velocity_fraction_c
142.415364583,impedance,2.71618062651,0.820308791404,3.63863627989e-06,-3.12711851024e-07,8.91331531689e-13,2.70693818925,0.826173208048
152.587890625,impedance,2.89312876765,0.823288255328,3.88443013619e-06,-3.33083758625e-07,8.07395416748e-13,2.88516063429,0.829259385378
162.760416667,impedance,3.06957958602,0.826069776175,4.12944062209e-06,-3.53398409826e-07,1.02776536447e-12,3.06257931757,0.832152569967
172.932942708,impedance,3.24568395538,0.828677932705,4.37372147613e-06,-3.73673174611e-07,5.13482004442e-13,3.23925237921,0.834875875287
183.10546875,impedance,3.42156933448,0.831133288941,4.61731818804e-06,-3.93922727211e-07,4.78782030079e-13,3.41523057435,0.837448478134
193.277994792,impedance,3.59734224526,0.83345316989,4.86026975325e-06,-4.14159331417e-07,5.32450305569e-13,3.59055856996,0.839886466501
203.450520833,impedance,3.77309095818,0.835652265648,5.10261000694e-06,-4.34393149741e-07,3.30733673195e-13,3.7652759576,0.842203470552
213.623046875,impedance,3.94888808836,0.837743106795,5.34436864638e-06,-4.54632542308e-07,3.4427401842e-13,3.93941805539,0.844411140122
223.795572917,impedance,4.12479298034,0.839736441756,5.58557202128e-06,-4.74884341411e-07,2.88941623304e-13,4.1130165511,0.846519511465
233.968098958,impedance,4.30085384531,0.841641538759,5.82624375004e-06,-4.95154097567e-07,4.27777212087e-13,4.28610002351,0.848537292766
244.140625,impedance,4.47710965211,0.843466429326,6.06640520324e-06,-5.15446297233e-07,2.80332652132e-13,4.45869436957,0.85047208909
254.313151042,impedance,4.65359178738,0.845218106108,6.30607588474e-06,-5.35764553925e-07,2.38871340032e-13,4.63082315738,0.852330581578
264.485677083,impedance,4.83032550312,0.846902684791,6.54527373271e-06,-5.5611177489e-07,1.64148188455e-13,4.80250792058,0.854118671629
274.658203125,impedance,5.00733116998,0.848525537483,6.78401535757e-06,-5.76490305384e-07,2.31159032612e-13,4.97376840545,0.855841597977
284.830729167,impedance,5.1846253529,0.85009140328,7.02231622999e-06,-5.96902052517e-07,1.90041217401e-13,5.14462278011,0.857504032558
295.003255208,impedance,5.36222172479,0.851604480425,7.26019082919e-06,-6.17348590442e-07,2.40569685525e-13,5.31508781254,0.859110159626
305.17578125,impedance,5.54013183335,0.853068503466,7.49765276006e-06,-6.37831248634e-07,1.19425606907e-13,5.48517902309,0.860663741506
315.348307292,impedance,5.71836573532,0.854486808147,7.73471484541e-06,-6.58351184922e-07,1.13165712454e-13,5.65491081585,0.862168173618
325.520833333,impedance,5.89693251271,0.855862386142,7.97138919913e-06,-6.78909444907e-07,1.5427956576e-13,5.82429659239,0.863626530797
335.693359375,impedance,6.07584068458,0.857197931384,8.20768728422e-06,-6.99507009386e-07,1.49525003836e-13,5.99334885069,0.865041606521
345.865885417,impedance,6.255098528,0.858495879362,8.4436199595e-06,-7.20144831289e-07,9.87239998931e-14,6.16207927169,0.866415946307
356.038411458,impedance,6.43471432058,0.85975844054,8.6791975175e-06,-7.40823863612e-07,1.6123791801e-13,6.3304987951,0.867751876285
366.2109375,impedance,6.61469651674,0.860987628823,8.91442971594e-06,-7.61545079706e-07,1.88342881632e-13,6.49861768636,0.869051527772
376.383463542,impedance,6.79505386832,0.86218528586,9.14932580439e-06,-7.82309487164e-07,1.138233548e-13,6.66644559576,0.870316858486
386.555989583,impedance,6.97579549962,0.863353101829,9.3838945474e-06,-8.0311813646e-07,9.18285134107e-14,6.83399161096,0.871549670954
396.728515625,impedance,7.15693094553,0.864492633236,9.61814424522e-06,-8.23972125338e-07,8.70821751984e-14,7.00126430373,0.872751628529
406.901041667,impedance,7.33847016048,0.865605318198,9.85208275268e-06,-8.44872599845e-07,1.04197845824e-13,7.16827177176,0.873924269402
417.073567708,impedance,7.52042350493,0.866692489587,1.00857174969e-05,-8.65820752772e-07,8.87485954761e-14,7.33502167606,0.875069018877
427.24609375,impedance,7.70280171498,0.867755386357,1.03190554944e-05,-8.8681782016e-07,1.08360246038e-13,7.5015212746,0.876187200189
437.418619792,impedance,7.88561585996,0.868795163331,1.05521033667e-05,-9.07865076411e-07,1.10236837659e-13,7.66777745263,0.877280044044
447.591145833,impedance,8.06887729188,0.869812899679,1.07848673572e-05,-9.28963828474e-07,6.24967360725e-14,7.83379675002,0.878348697075
457.763671875,impedance,8.25259758997,0.870809606276,1.10173533458e-05,-9.50115409458e-07,9.24888313082e-14,7.99958538611,0.879394229348
467.936197917,impedance,8.43678850294,0.871786232119,1.12495668647e-05,-9.7132117198e-07,7.5988283662e-14,8.16514928212,0.880417641049
478.108723958,impedance,8.62146189077,0.872743669929,1.1481513113e-05,-9.92582481475e-07,8.03922124967e-14,8.33049408167,0.881419868455
488.28125,impedance,8.80662966785,0.873682761063,1.17131969719e-05,-1.01390070964e-06,1.12635237848e-13,8.49562516943,0.88240178928
498.453776042,impedance,8.99230374834,0.874604299841,1.19446230184e-05,-1.03527722813e-06,6.4581750087e-14,8.66054768812,0.883364227476
